timeStamp,sessionId,participantId,action,actor,x,y,z,target
2018-04-04 11:03:26.738 +03:00,34547,C BOT,TakeOff,C,-2.1,1.1,0.1,
2018-04-04 11:03:26.978 +03:00,53049,D BOT,EnterTP,D,2.3,1.1,0.8,
2018-04-04 11:03:27.478 +03:00,59297,B BOT,Activated,B,-1.9,1.1,0.6,
2018-04-04 11:03:27.479 +03:00,59297,B BOT,Activated,B,-1.9,1.1,0.6,
2018-04-04 11:03:27.598 +03:00,55111,B BOT,Deactivated,B,3.6,1.1,-0.6,
2018-04-04 11:03:27.607 +03:00,55111,A BOT,Kick,A,1.4,1.1,-1.5,B
2018-04-04 11:03:27.611 +03:00,55111,B BOT,Activated,B,3.6,1.1,-0.6,
2018-04-04 11:03:28.010 +03:00,32801,B,moved,B,-4.4,0.5,0.1,
2018-04-04 11:03:28.173 +03:00,59297,C BOT,EnterTP,C,-7.2,1.1,-1.4,
2018-04-04 11:03:28.272 +03:00,38627,A,Activated,A,-4.3,1.1,0.3,
2018-04-04 11:03:28.278 +03:00,38627,A,Deactivated,A,-4.3,1.1,0.3,
2018-04-04 11:03:28.428 +03:00,55111,C,moved,C,-3.3,0.5,0.3,
2018-04-04 11:03:28.684 +03:00,53049,C BOT,EnterTP,C,2.3,1.1,0.7,
2018-04-04 11:03:28.789 +03:00,55111,C,EnterTP,C,-4.3,1.1,-2.6,
2018-04-04 11:03:29.278 +03:00,59297,D,exitTP,D,-1.1,1.1,2.4,
2018-04-04 11:03:29.357 +03:00,59297,B BOT,exitTP,B,-1.2,1.1,-0.1,
2018-04-04 11:03:29.661 +03:00,38627,A,moved,A,-1.2,-0.4,0.7,
2018-04-04 11:03:29.702 +03:00,55111,B BOT,exitTP,B,7.5,1.1,3.3,
2018-04-04 11:03:29.797 +03:00,53049,D BOT,Activated,D,5.5,1.1,0.4,
2018-04-04 11:03:29.800 +03:00,53049,D BOT,Activated,D,5.5,1.1,0.3,
2018-04-04 11:03:30.487 +03:00,32801,C BOT,Activated,C,5.3,1.1,0.3,
2018-04-04 11:03:30.494 +03:00,32801,C BOT,Deactivated,C,5.3,1.1,0.3,
2018-04-04 11:03:30.542 +03:00,53049,C BOT,exitTP,C,2.2,1.1,0.4,
2018-04-04 11:03:30.801 +03:00,38627,C BOT,Saved,C,-8.8,0.6,-10.5,D
2018-04-04 11:03:30.806 +03:00,38627,D BOT,exitTP,D,-8.8,0.6,-10.5,
2018-04-04 11:03:30.814 +03:00,38627,D BOT,Saved,D,5.2,1.1,0.4,D
2018-04-04 11:03:30.933 +03:00,55111,C,moved,C,-1.4,-0.4,-2.5,
2018-04-04 11:03:31.617 +03:00,59297,D,EnterTP,D,2.3,1.1,2.1,
2018-04-04 11:03:31.693 +03:00,59297,B BOT,EnterTP,B,2.3,1.1,-0.4,
2018-04-04 11:03:31.750 +03:00,34547,C BOT,Saved,C,5.6,1.1,0.2,A
2018-04-04 11:03:31.752 +03:00,34547,D BOT,Saved,D,-8.8,0.6,-10.5,A
2018-04-04 11:03:31.756 +03:00,34547,A,exitTP,A,-8.8,0.6,-10.5,
2018-04-04 11:03:32.157 +03:00,38627,A,moved,A,-7.2,-0.4,-1.2,
2018-04-04 11:03:32.208 +03:00,59297,C BOT,exitTP,C,-1.2,1.1,-0.6,
2018-04-04 11:03:32.503 +03:00,38627,A,moved,A,-4.8,0.5,0.3,
2018-04-04 11:03:32.745 +03:00,55111,C,moved,C,-1.6,-0.4,-3.8,
2018-04-04 11:03:33.035 +03:00,55111,B BOT,EnterTP,B,7.2,1.1,3.3,
2018-04-04 11:03:33.186 +03:00,55111,C,exitTP,C,-1.7,1.1,-2.6,
2018-04-04 11:03:33.246 +03:00,55111,C,moved,C,-3.3,0.5,-0.5,
2018-04-04 11:03:33.314 +03:00,59297,D,Kick,D,4.6,1.1,1.9,B
2018-04-04 11:03:33.524 +03:00,59297,B BOT,exitTP,B,4,1.1,-2.7,
2018-04-04 11:03:33.716 +03:00,34547, ,spawnedTo,C,5.3,0.5,-4.2,
2018-04-04 11:03:33.723 +03:00,34547, ,EndRound1,,,,,
2018-04-04 11:03:33.743 +03:00,55111,C,EnterTP,C,-2,1.1,-2.5,
2018-04-04 11:03:33.750 +03:00,34547, ,spawnedTo,D,-5.3,0.5,-3.8,
2018-04-04 11:03:33.757 +03:00,34547, ,spawnedTo,A,6.1,0.5,5,
2018-04-04 11:03:34.591 +03:00,59297,C BOT,EnterTP,C,2.3,1.1,-0.1,
2018-04-04 11:03:34.669 +03:00,59297,C BOT,Activated,C,2.5,1.1,0,
2018-04-04 11:03:34.827 +03:00,55111,C,moved,C,-3.5,0.5,-0.2,
2018-04-04 11:03:34.850 +03:00,32801,B,moved,B,-2.5,0.5,2.2,
2018-04-04 11:03:35.047 +03:00,55111,A BOT,EnterTP,A,-1.2,1.1,-0.2,
2018-04-04 11:03:35.099 +03:00,55111,A BOT,exitTP,A,-1.2,1.1,-0.2,
2018-04-04 11:03:35.190 +03:00,55111,A BOT,Activated,A,-1.4,1.1,-0.1,
2018-04-04 11:03:35.303 +03:00,55111,A BOT,Activated,A,-1.4,1.1,-0.1,
2018-04-04 11:03:35.322 +03:00,55111,A BOT,EnterTP,A,-1.2,1.1,-0.2,
2018-04-04 11:03:35.653 +03:00,59297,C BOT,Activated,C,2.4,1.1,0,
2018-04-04 11:03:35.803 +03:00,32801,B,moved,B,-3,-0.4,4.4,
2018-04-04 11:03:35.923 +03:00,38627,A,moved,A,2.4,-0.4,1.5,
2018-04-04 11:03:35.941 +03:00,55111,B BOT,TakeOff,B,3.3,1.1,1.4,
2018-04-04 11:03:35.942 +03:00,55111,B BOT,exitTP,B,-15.3,0.6,-5,
2018-04-04 11:03:36.351 +03:00,55111,A BOT,exitTP,A,-1.1,1.1,0.3,
2018-04-04 11:03:36.747 +03:00,34547, ,BeginRound2,,,,,
2018-04-04 11:03:37.152 +03:00,32801,B,moved,B,-4.1,0.5,0.3,
2018-04-04 11:03:37.311 +03:00,59297,D,Kick,D,5.8,1.1,1.1,C
2018-04-04 11:03:37.542 +03:00,59297,D,moved,D,3.7,0.5,0.2,
2018-04-04 11:03:37.544 +03:00,59297,C BOT,exitTP,C,2.3,1.1,-2.2,
2018-04-04 11:03:37.834 +03:00,38627, ,spawnedTo,A,6.1,0.5,5,
2018-04-04 11:03:37.835 +03:00,38627, ,spawnedTo,D,5.3,0.5,-4.2,
2018-04-04 11:03:37.840 +03:00,32801,C BOT,exitTP,C,2.2,1.1,1.1,
2018-04-04 11:03:37.841 +03:00,38627, ,spawnedTo,C,-5.3,0.5,-3.8,
2018-04-04 11:03:37.846 +03:00,38627, ,EndRound1,,,,,
2018-04-04 11:03:37.907 +03:00,38627,A,exitTP,A,6.1,0.5,5,
2018-04-04 11:03:37.941 +03:00,55111,C,moved,C,-2.6,-0.4,-1.5,
2018-04-04 11:03:37.949 +03:00,34547,A,moved,A,3.7,0.5,1.5,
2018-04-04 11:03:38.006 +03:00,32801,B,moved,B,-4.2,0.5,-0.3,
2018-04-04 11:03:38.035 +03:00,34547,C BOT,EnterTP,C,5.4,1.1,-2.6,
2018-04-04 11:03:38.155 +03:00,53049,D BOT,exitTP,D,2.2,1.1,-0.9,
2018-04-04 11:03:38.168 +03:00,34547,A,moved,A,4.3,0.5,0.8,
2018-04-04 11:03:38.245 +03:00,34547,A,moved,A,4.3,0.5,0.8,
