timeStamp,sessionId,actor,action,x,y,z,target
4/25/2018 14:13:54:140,59740,C BOT_moral,Kick,-3.0, 1.1, -0.1,A BOT
4/25/2018 14:13:54:141,59740,A BOT,Kick,-0.3, 1.1, -0.9,C BOT_moral
4/25/2018 14:13:59:150,59740,A BOT,EnterTP,-1.3, 1.1, -0.6,
4/25/2018 14:13:59:152,59740,A BOT,Kick,-1.4, 1.1, -0.5,C BOT_moral
4/25/2018 14:14:01:520,59740,C BOT_moral,Kick,-4.2, 1.1, 0.4,A BOT
4/25/2018 14:14:06:602,59740,A BOT,exitTP,-1.2, 1.1, -0.4,
4/25/2018 14:14:06:720,59740,C BOT_moral,Thank,-4.2, 1.1, 0.4,A BOT
4/25/2018 14:14:10:46,59740,A BOT,EnterTP,2.3, 1.1, 0.0,
4/25/2018 14:14:11:700,59740,A BOT,exitTP,2.2, 1.1, 0.1,
4/25/2018 14:14:15:13,59740,A BOT,Kick,-1.3, 1.1, 0.2,C BOT_moral
4/25/2018 14:14:15:129,59740,A BOT,EnterTP,-1.3, 1.1, 0.2,
4/25/2018 14:14:16:670,59740,A BOT,Kick,-1.4, 1.1, 0.2,C BOT_moral
4/25/2018 14:14:18:796,59740,C BOT_moral,Kick,-4.2, 1.1, 0.4,A BOT
4/25/2018 14:14:23:636,59740,A BOT,Kick,-1.4, 1.1, 0.2,C BOT_moral
4/25/2018 14:14:27:647,59740,A BOT,exitTP,-1.2, 1.1, 0.2,
4/25/2018 14:14:30:397,59740,C BOT_moral,exitTP,-1.2, 1.1, 0.4,
4/25/2018 14:14:31:243,59740,A BOT,EnterTP,2.3, 1.1, 0.3,
4/25/2018 14:14:33:884,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.4,
4/25/2018 14:14:36:617,59740,C BOT_moral,exitTP,2.2, 1.1, 0.4,
4/25/2018 14:14:39:146,59740,A BOT,exitTP,2.2, 1.1, 0.3,
4/25/2018 14:14:39:863,59740,C BOT_moral,Kick,-1.1, 1.1, 0.4,A BOT
4/25/2018 14:14:40:105,59740,C BOT_moral,EnterTP,-1.2, 1.1, 0.4,
4/25/2018 14:14:44:650,59740,A BOT,EnterTP,-1.2, 1.1, -0.1,
4/25/2018 14:14:44:651,59740,A BOT,exitTP,-1.2, 1.1, -0.1,
4/25/2018 14:14:44:769,59740,A BOT,EnterTP,-1.3, 1.1, -0.1,
4/25/2018 14:14:51:927,59740,A BOT,exitTP,-1.2, 1.1, -0.7,
4/25/2018 14:14:53:115,59740,C BOT_moral,Kick,-2.8, 1.1, 0.0,A BOT
4/25/2018 14:14:55:509,59740,A BOT,EnterTP,2.4, 1.1, -0.1,
4/25/2018 14:14:57:298,59740,A BOT,exitTP,2.1, 1.1, 0.1,
4/25/2018 14:14:59:212,59740,C BOT_moral,Kick,-2.7, 1.1, 0.0,A BOT
4/25/2018 14:15:01:591,59740,A BOT,EnterTP,-1.2, 1.1, 0.3,
4/25/2018 14:15:01:592,59740,A BOT,exitTP,-1.2, 1.1, 0.3,
4/25/2018 14:15:01:709,59740,A BOT,EnterTP,-1.3, 1.1, 0.3,
4/25/2018 14:15:04:548,59740,A BOT,exitTP,-1.2, 1.1, 0.3,
4/25/2018 14:15:08:120,59740,A BOT,EnterTP,2.4, 1.1, 0.3,
4/25/2018 14:15:08:478,59740,C BOT_moral,exitTP,-1.2, 1.1, 0.2,
4/25/2018 14:15:12:540,59740,C BOT_moral,EnterTP,-1.3, 1.1, 0.3,
4/25/2018 14:15:17:141,59740,A BOT,exitTP,2.2, 1.1, 0.4,
4/25/2018 14:15:24:435,59740,A BOT,EnterTP,-1.3, 1.1, -0.6,
4/25/2018 14:15:28:438,59740,A BOT,Kick,-2.8, 1.1, -0.6,C BOT_moral
